ParasiteCorrectedName,Insect,GenusOnly,Commensal?,ZooScore,ConfidenceScore,XC ZooScore,XC CScore,XC Notes,XC WhoBy,XC Date,PGF ZooScore,PGF CScore,PGF notes,Non-GMPD,SearchStringGoog,Googlehits(As of 2/8/2017),SearchStringWOS,WOShits (As of 2/6/2017),Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF Citation,PGF more citations,Nematode
Aelurostrongylus falciformis ,,0,,-1,1,-1,3,,VR,42765,,,,,Aelurostrongylus falciformis      ,58,Aelurostrongylus falciformis      ,1,H: Badger,"Davidson et al., 2006",,VR,42765,,,,1
Aelurostrongylus pridhami ,,0,,-1,2,-1,3,,VR,42765,,,,,Aelurostrongylus pridhami      ,45,Aelurostrongylus pridhami      ,3,H: badger,"Davidson et al., 2006",,VR,42765,,,,1
Aerobacter aerogenes ,,0,,0,1,0,1,,VR,42765,,,,,Aerobacter aerogenes      ,22300,Aerobacter aerogenes      ,177,aerobic bacteria,"Wilhelm et al., 1949",NEED,VR,42765,,,,0
Aerococcus viridans ,,0,,-1,2,0,1,,VR,42765,,,,,Aerococcus viridans      ,4560,Aerococcus viridans      ,244,lobsters,"Nathavitharana et al., 1983",,VR,42765,,,,0
Aeromonas hydrophila ,,0,,0,2,0,1,,VR,42765,,,,,Aeromonas hydrophila      ,57500,Aeromonas hydrophila      ,5313,,"Hazen et al., 1978",,VR,42765,,,,0
African swine fevervirus     ,,0,,-1,1,-1,1,,VR,42762,,,,,African swine fevervirus     ,13600,African swine fevervirus     ,0,swine only,"Yanez et al., 1995",,VR,42762,,,,0
Africanostrongylus buceros ,,0,,,,-1,3,,VR,42762,,,,,Africanostrongylus buceros      ,0,Africanostrongylus buceros      ,0,,"Hoberg et al., 2008",,VR,42762,,,,1
Agriostomum cursoni ,,0,,-1,3,-1,3,,VR,42762,,,,,Agriostomum cursoni      ,11,Agriostomum cursoni      ,0,,"Reinecke et al., 1988",,VR,42762,,,,1
Agriostomum equidentatum ,,0,,,,-1,3,,VR,42762,,,,,Agriostomum equidentatum      ,26,Agriostomum equidentatum      ,0,,Horak 1981,,VR,42762,,,,1
Agriostomum gorgonis ,,0,,,,-1,3,,VR,42762,,,,,Agriostomum gorgonis      ,36,Agriostomum gorgonis      ,1,hook worm; wildebeast,"Horak et al., 1983",,VR,42762,,,,1
Agrobacterium radioba (radiobacter)     ,,0,,0,1,0,1,,VR,42762,,,,,Agrobacterium radioba (radiobacter)     ,7,Agrobacterium radioba (radiobacter)     ,0,plant based,"Edmond et al., 1993",NEED,VR,42762,,,,0
Agrobacterium tumefaciens ,,0,,-1,1,-1,1,,VR,42762,,,,,Agrobacterium tumefaciens      ,62400,Agrobacterium tumefaciens      ,10373,plant based,"Valvekens et al., 1988",,VR,42762,,,,0
Ajellomyces crescens ,,0,,0,1,0,1,,VR,42762,,,,,Ajellomyces crescens      ,215,Ajellomyces crescens      ,9,small mammals (rarely in humans),"Roilides et al., 1999",,VR,42762,,,,0
Alaria alata ,,0,,0,1,1,1,,VR,42762,,,,,Alaria alata      ,2510,Alaria alata      ,77,Host: Human Cat Dog Pig Snail Vehicle:crustaceans,"Riehn et al., 2010",,VR,42762,,,,0
Alaria americana ,,0,,2,1,1,1,,VR,42762,,,,,Alaria americana      ,965,Alaria americana      ,20,Digestive trematoda,"Fernandes et al., 1976",,VR,42762,,,,0
Alaria arisaemoides ,,0,,2,2,-1,2,,VR,42762,,,,,Alaria arisaemoides      ,394,Alaria arisaemoides      ,4,Dt; dogs,Augustine and Uribe 1927,NEED,VR,42762,,,,0
Alaria canis ,,0,,2,1,-1,1,,VR,42762,,,,,Alaria canis      ,1040,Alaria canis      ,50,Dt; dogs,Rausch and Williamson 1959,,VR,42762,,,,0
Alaria marcianae ,,0,,2,2,-1,2,,VR,42762,,,,,Alaria marcianae      ,286,Alaria marcianae      ,31,Dt;  ,"Pence et al., 1988",,VR,42762,,,,0
Alaria mustelae ,,0,,2,2,-1,1,,VR,42762,,,,,Alaria mustelae      ,1590,Alaria mustelae      ,10,Dt;,"Locke et al., 2011",,VR,42762,,,,0
Alaria taxideae ,,0,,2,2,-1,3,,VR,42762,,,,,Alaria taxideae      ,51,Alaria taxideae      ,1,Dt; ,"Poole et al., 1983",,VR,42762,,,,0
Alcelaphine herpesvirus 1     ,,0,,-1,1,-1,1,,VR,42762,,,,,Alcelaphine herpesvirus 1     ,1240,Alcelaphine herpesvirus 1     ,132,Bfever,"Ensser et al., 1997",,VR,42762,,,,0
Alouattalges corbeti ,,0,,,,-1,3,,VR,42762,,,might be an ecto/insect,,Alouattalges corbeti      ,2,Alouattalges corbeti      ,0,,NEED,,VR,42762,,,,0
Alphacoronavirus1 ,,0,,3,1,3,1,,VR,42762,,,,,Alphacoronavirus1      ,208,Alphacoronavirus1      ,0,Bat/Human,"Vlasova et al., 2011",Gideon,VR,42762,,,,0
Alphacoronavirus2 ,,0,,3,1,3,1,,VR,42762,,,,,Alphacoronavirus2      ,14,Alphacoronavirus2      ,0,Bat/Human,"Vlasova et al., 2011",Gideon,VR,42762,,,,0
Alphavirus Venezuelan equine encephalitis virus strain Mena II,,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Venezuelan equine encephalitis virus strain Mena II,191,Alphavirus Venezuelan equine encephalitis virus strain Mena II,0,Vector: Mosquito ,NEED,,VR,42762,,,,0
Alphavirus Venezuelan equine encephalitis virus strain TC-83 ,,3,,0,2,0,1,,VR,42762,,,,,Alphavirus Venezuelan equine encephalitis virus strain TC-83 ,868,Alphavirus Venezuelan equine encephalitis virus strain TC-83 ,16,Vector: Mosquito ,"Kinney et al., 1993",,VR,42762,,,,0
Alphavirus Western equine encephalitis virus   ,,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Western equine encephalitis virus   ,9180,Alphavirus Western equine encephalitis virus   ,122,Vector: Mosquito ,"Hahn et al., 1988",,VR,42762,,,,0
Alphavirus Chikungunya ,,0,,0,2,3,1,,VR,42762,,,,,Alphavirus Chikungunya      ,7180,Alphavirus Chikungunya      ,452,Vector: Mosquito (protozoan),Powers and Logue 2007,,VR,42762,,,,0
Alphavirus Easternequineencephalitisvirus ,,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Easternequineencephalitisvirus      ,2480,Alphavirus Easternequineencephalitisvirus      ,0,Vector:Mosquito,Borucki 2010,,VR,42762,,,,0
Alphavirus Mayaro ,,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Mayaro      ,1630,Alphavirus Mayaro      ,49,Vector: Mosquito ,"Tesh et al., 1999",,VR,42762,,,,0
Alphavirus Semliki forest virus    ,,0,,0,1,0,1,,VR,42762,,,,,Alphavirus Semliki forest virus    ,10300,Alphavirus Semliki forest virus    ,607,Vector: Mosquito ,"Mathiot et al., 1990",,VR,42762,,,,0
Alphavirus Sindbis ,,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Sindbis      ,13700,Alphavirus Sindbis      ,822,Vector: Mosquitos   ,"Kurkela et al., 2008",,VR,42762,,,,0
Alphavirus Southernelephantsealvirus ,,0,,-1,1,-1,1,,VR,42762,,,,,Alphavirus Southernelephantsealvirus      ,86,Alphavirus Southernelephantsealvirus      ,0,Vector: Sea louse,"Linn et al., 2001",,VR,42762,,,,0
Alphavirus Tonate ,,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Tonate      ,386,Alphavirus Tonate      ,1,Vector: Moaquito,"Hommel et al., 2000",,VR,42762,,,,0
Amdovirus Aleutian-mink-disease-virus ,,0,,1,2,-1,2,,VR,42762,,,,,Amdovirus Aleutian-mink-disease-virus      ,253,Amdovirus Aleutian-mink-disease-virus      ,5,rare zoonosis,"Qiu et al., 2006",,VR,42762,,,,0
Anaplasma platys ,,0,,-1,2,-1,1,,VR,42761,,,,,Anaplasma platys      ,2210,Anaplasma platys      ,242,canine only,"Yabsley et al., 2008",,VR,42761,,,,0
Anaplasma centrale ,,0,,,,-1,1,,VR,42761,,,,,Anaplasma centrale      ,2390,Anaplasma centrale      ,160,,"Kawahara et al., 2006",,VR,42761,,,,0
Anaplasma marginale ,,0,,-1,2,-1,1,,VR,42761,,,,,Anaplasma marginale      ,10100,Anaplasma marginale      ,1258,bovine only,"Kieser et al., 1990",,VR,42761,,,,0
Anaplasma ovis ,,0,,1,1,1,1,,VR,42761,,,,,Anaplasma ovis      ,3350,Anaplasma ovis      ,175,rare: blood/secretions,"Chochlakis et al., 2010",Gideon ,VR,42761,,,,0
Anaplasma phagocytophilum ,,0,,1,2,0,1,,VR,42761,,,,,Anaplasma phagocytophilum      ,9970,Anaplasma phagocytophilum      ,1832,Bacterium,"Dumler et al., 2005",,VR,42761,,,,0
Anatrichosoma cynamolgi ,,0,,,,-1,3,,VR,42761,,,,,Anatrichosoma cynamolgi      ,54,Anatrichosoma cynamolgi      ,1,monkey ,Conrad and Wong 1973,,VR,42761,,,,1
Anatrichosoma ixyos ,,0,,,,-1,3,,VR,42761,,,,,Anatrichosoma ixyos      ,0,Anatrichosoma ixyos      ,0,,NEED,,VR,42761,,,,1
Ancylostoma braziliense ,,0,,3,1,1,1,,VR,42761,,,,,Ancylostoma braziliense      ,2430,Ancylostoma braziliense      ,71,"""hook worm"" ","Malgor et al., 1996",,VR,42761,,,,1
Ancylostoma caninum ,,0,,3,1,3,1,,VR,42761,,,,,Ancylostoma caninum      ,10900,Ancylostoma caninum      ,881,reservoir: canine ,"Mulvenna et al., 2009",Gideon,VR,42761,,,,1
Ancylostoma duodenale ,,0,,3,1,3,1,,VR,42761,,,"See notes in Nematode word doc.  ""0"" ",,Ancylostoma duodenale      ,8310,Ancylostoma duodenale      ,217,reservoir: human,"Albonico et al., 1998",,VR,42761,,,,1
Ancylostoma kusimaense ,,0,,,,-1,3,,VR,42761,,,,,Ancylostoma kusimaense      ,36,Ancylostoma kusimaense      ,3,,"Sato et al., 1999",,VR,42761,,,,1
Ancylostoma martinezi ,,0,,,,-1,3,,VR,42761,,,,,Ancylostoma martinezi      ,60,Ancylostoma martinezi      ,1,,"Casanova et al., 2000",NEED,VR,42761,,,,1
Ancylostoma paraduodenale ,,0,,,,-1,3,,VR,42761,,,,,Ancylostoma paraduodenale      ,28,Ancylostoma paraduodenale      ,0,,"Bjork et al., 2000",,VR,42761,,,,1
Ancylostoma pluridentatum ,,0,,,,-1,3,,VR,42761,,,,,Ancylostoma pluridentatum      ,58,Ancylostoma pluridentatum      ,4,panther,"Dunbar et al., 1994",,VR,42761,,,,1
Ancylostoma quadridentata ,,0,,,,-1,3,,VR,42761,,,,,Ancylostoma quadridentata      ,7,Ancylostoma quadridentata      ,0,,"Stuart et al., 1998",,VR,42761,,,,1
Ancylostoma tubaeforme ,,0,,,,-1,1,,VR,42761,,,,,Ancylostoma tubaeforme      ,7450,Ancylostoma tubaeforme      ,74,,Barutzki and Schaper 2003,,VR,42761,,,,1
Anellovirus Torque teno virus    ,,0,,0,1,0,1,,VR,42761,,,,,Anellovirus Torque teno virus    ,662,Anellovirus Torque teno virus    ,56,Viral/Infected Secretions,Hino and Miyata 2007,NEED,VR,42761,,,,0
Angiocaulus gubernaculatus ,,0,,,,-1,3,,VR,42761,,,in island foxes,,Angiocaulus gubernaculatus      ,41,Angiocaulus gubernaculatus      ,2,,"Faulkner et al., 2001",,VR,42761,,,,1
Angiostrongylus costaricensis ,,0,,1,1,0,1,,VR,42761,,,,,Angiostrongylus costaricensis      ,1740,Angiostrongylus costaricensis      ,148,Cotton Rat and Slug: first reported in Venezuela,Morera and Cespedes 1971,,VR,42761,,,,1
Angiostrongylus vasorum ,,0,,-1,1,-1,1,,VR,42761,,,,,Angiostrongylus vasorum      ,1850,Angiostrongylus vasorum      ,328,Canine Heartworm,"Taubert et al., 2009",,VR,42761,,,,1
Anisakis pegreffii ,,0,,1,2,1,2,,VR,42761,,,,,Anisakis pegreffii      ,765,Anisakis pegreffii      ,135,marine mammals and fish: from consuming undercooked fish ,"Romero et al., 2014",,VR,42761,,,,1
Anisakis physeteris ,,0,,1,1,1,2,,VR,42761,,,,,Anisakis physeteris      ,690,Anisakis physeteris      ,68,Peru: dolphin and seal lion (5 species of fish consumed by humans),"Romero et al., 2014",,VR,42761,,,,1
Anisakis simplex ,,0,,1,2,1,1,,VR,42761,,,,,Anisakis simplex      ,7610,Anisakis simplex      ,16,nematode,Audicana and Kennedy 2008,Gideon,VR,42761,,,,1
Anophryocephalus arcticensis ,,0,,,,-1,3,,VR,42761,,,,,Anophryocephalus arcticensis      ,13,Anophryocephalus arcticensis      ,2,,Hoberg and Measures 1995,,VR,42761,,,,0
Anophryocephalus inuitorum ,,0,,,,-1,3,,VR,42761,,,,,Anophryocephalus inuitorum      ,13,Anophryocephalus inuitorum      ,2,,Hoberg and Measures 1995,,VR,42761,,,,0
Anophryocephalus ochotensis ,,0,,-1,1,-1,3,,VR,42761,,,,,Anophryocephalus ochotensis      ,22,Anophryocephalus ochotensis      ,2,helminth (seals),Shults 1986,,VR,42761,,,,0
Anoplocephala gigantea ,,0,,,,-1,3,,VR,42761,,,,,Anoplocephala gigantea      ,48,Anoplocephala gigantea      ,2,,"Knapp et al., 1997",,VR,42761,,,,0
Anoplocephala magna ,,0,,-1,2,-1,2,,VR,42761,,,,,Anoplocephala magna      ,492,Anoplocephala magna      ,24,equine ,"Meana et al., 2005",,VR,42761,,,,0
Anoplocephala perfoliata ,,0,,-1,2,-1,1,,VR,42761,,,,,Anoplocephala perfoliata      ,1410,Anoplocephala perfoliata      ,194,equine tape worm ,Proudman and Trees 1996,NEED,VR,42761,,,,0
Anoplocephala gorillae ,,0,,-1,2,-1,3,,VR,42761,,,,,Anoplocephala gorillae      ,72,Anoplocephala gorillae      ,3,gorilla tape worm ,"Kalema-Zikusoka et al., 2005",,VR,42761,,,,0
Aonchotheca putorii ,,0,,,,-1,2,,VR,42760,,,,,Aonchotheca putorii      ,121,Aonchotheca putorii      ,18,,"Torres et al., 2001",NEED,VR,42760,,,,1
Aototrema dorsogenitalis ,,0,,,,-1,3,,VR,42760,,,,,Aototrema dorsogenitalis      ,2,Aototrema dorsogenitalis      ,1,,"Bean-Knudsen et al., 1987",,VR,42760,,,,0
Aphthovirus Foot-and-mouth disease virus A   ,,1,,-1,2,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus A   ,6060,Aphthovirus Foot-and-mouth disease virus A   ,95,RNA Livestock pathogen ,"Knowles et al., 2007",,VR,42760,,,,0
Aphthovirus Foot-and-mouth disease virus C   ,,1,,-1,1,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus C   ,5200,Aphthovirus Foot-and-mouth disease virus C   ,51,RNA,"Nagendrakumar et al., 2005",,VR,42760,,,,0
Aphthovirus Foot-and-mouth disease virus O   ,,1,,-1,1,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus O   ,6170,Aphthovirus Foot-and-mouth disease virus O   ,14,RNA,"Knowles et al., 2005",,VR,42760,,,,0
Aphthovirus Foot-and-mouth disease virus SAT 1  ,,1,,-1,3,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus SAT 1  ,1730,Aphthovirus Foot-and-mouth disease virus SAT 1  ,3,RNA,"Dhikusooka et al., 2016",,VR,42760,,,,0
Aphthovirus Foot-and-mouth disease virus SAT 2  ,,1,,-1,3,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus SAT 2  ,1720,Aphthovirus Foot-and-mouth disease virus SAT 2  ,3,RNA,"Valdazo-Gonzalez et al., 2012",,VR,42760,,,,0
Aphthovirus Foot-and-mouth disease virus SAT3   ,,1,,-1,3,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus SAT3   ,963,Aphthovirus Foot-and-mouth disease virus SAT3   ,1,RNA,"Dhikusooka et al., 2015",,VR,42760,,,,0
Apophallus donicus ,,0,,1,1,-1,2,,VR,42760,,,,,Apophallus donicus      ,117,Apophallus donicus      ,2,reservoir: snail and fish ,Shimalov and Shimalov 2001,,VR,42760,,,,0
Apophallus muehlingi ,,0,,,,-1,3,,VR,42760,,,,,Apophallus muehlingi      ,178,Apophallus muehlingi      ,5,,Izvekova and Tyutin 2011,,VR,42760,,,,0
Apophallus venustus ,,0,,1,2,-1,3,,VR,42760,,,,,Apophallus venustus      ,53,Apophallus venustus      ,0,Reservoir: snail and fish ,Cameron 1945,,VR,42760,,,,0
Apteragia odocoilei ,,0,,-1,2,-1,3,,VR,42760,,,,,Apteragia odocoilei      ,39,Apteragia odocoilei      ,0,helminth (white tailed deer),"Ditchkoff et al., 2005",,VR,42760,,,,1
Apteragia pursglovei ,,0,,,,-1,3,,VR,42760,,,,,Apteragia pursglovei      ,23,Apteragia pursglovei      ,1,,"Ditchkoff et al., 2005",,VR,42760,,,,1
Apteragia quadrispiculata ,,0,,,,-1,3,,VR,42760,,,,,Apteragia quadrispiculata      ,55,Apteragia quadrispiculata      ,3,,McKenna 1997,,VR,42760,,,,1
Arcanobacterium haemolyticum ,,0,,0,3,0,1,,VR,42760,,,,,Arcanobacterium haemolyticum      ,2040,Arcanobacterium haemolyticum      ,173,Bacterium,"Collins et al., 1982",,VR,42760,,,,0
Arcanobacterium phocae ,,0,,,,-1,2,,VR,42760,,,,,Arcanobacterium phocae      ,306,Arcanobacterium phocae      ,15,,"Johnson et al., 2003",,VR,42760,,,,0
Arcanobacterium pyogenes ,,0,,0,2,-1,1,,VR,42760,,,,,Arcanobacterium pyogenes      ,5650,Arcanobacterium pyogenes      ,379,Bacterium,"Silva et al., 2008",,VR,42760,,,,0
Arenavirus Lymphocytic choriomeningitis virus    ,,0,,3,1,3,1,,VR,42760,,,,,Arenavirus Lymphocytic choriomeningitis virus    ,5830,Arenavirus Lymphocytic choriomeningitis virus    ,418,"house mouse, guinea pig, monkey, and hamster (only human reported cases in Europe)","Cao et al., 1998",,VR,42760,,,,0
Arhythmorhynchus brevis ,,0,,,,-1,2,,VR,42760,,,,,Arhythmorhynchus brevis      ,79,Arhythmorhynchus brevis      ,3,,Tuszynski and Whitaker 1972,,VR,42760,,,,0
Armillifer armillatus ,,0,,0,1,1,2,,VR,42760,,,Arthropoda…,,Armillifer armillatus      ,458,Armillifer armillatus      ,19,"definitive host is snakes, intermediate hosts are usually rodents or other wild mammals.  Larvae can infest humans.  Infection occurs by ingesting contaminated water or vegetables or raw snake meat. ",Lavarde and Fornes 1999,,VR,42760,,,,0
Arterivirus Equine arteritis virus    ,,0,,-1,1,-1,1,,VR,42760,,,,,Arterivirus Equine arteritis virus    ,2430,Arterivirus Equine arteritis virus    ,154,equine,Balasuriya and MacLachlan 2004,,VR,42760,,,,0
Arterivirus Porcine respiratory and reproductive syndrome virus ,,0,,-1,1,-1,1,,VR,42760,,,,,Arterivirus Porcine respiratory and reproductive syndrome virus ,4250,Arterivirus Porcine respiratory and reproductive syndrome virus ,196,economically importanat ,"Conzelmann et al., 1992",,VR,42760,,,,0
Arthroderma benhamiae ,,0,,2,1,2,1,,VR,42760,,,,,Arthroderma benhamiae      ,2440,Arthroderma benhamiae      ,161,"Fungus: human, and domesticated pets (some marsupials)","Shiraki et al., 2006",,VR,42760,,,,0
Arthrostoma miyazakiense ,,0,,,,-1,3,,VR,42760,,,,,Arthrostoma miyazakiense      ,25,Arthrostoma miyazakiense      ,4,,"Shin et al., 2007",,VR,42760,,,,1
Ascaridia galli ,,0,,-1,2,-1,1,,VR,42760,,,,,Ascaridia galli      ,5640,Ascaridia galli      ,330,Host: Fowl,"Kilpinen et al., 2005",,VR,42760,,,,1
Ascaridia schroederii ,,0,,0,2,-1,3,,VR,42760,,,,,Ascaridia schroederii      ,1,Ascaridia schroederii      ,0,,Qiu and Mainka 1991,NEED,VR,42760,,,,1
Ascaris phacochoeri ,,0,,,,-1,3,,VR,42760,,,,,Ascaris phacochoeri      ,21,Ascaris phacochoeri      ,0,,"Boomker et al., 1991",,VR,42760,,,,1
Ascaris suum ,,0,,2,2,2,1,,VR,42760,,,,,Ascaris suum      ,28500,Ascaris suum      ,2865,nematoda,"Okimoto et al., 1992",,VR,42760,,,,1
Ascaris elongata ,,0,,,,-1,2,,VR,42760,,,,,Ascaris elongata      ,320,Ascaris elongata      ,0,,"Stuart et al., 1998",,VR,42760,,,,1
Ascaris lumbricoides ,,0,,1,1,0,1,,VR,42760,,,see Nematodes word doc,,Ascaris lumbricoides      ,35700,Ascaris lumbricoides      ,2264,Human/dog,"Cooper et al., 2000",Gideon,VR,42760,,,,1
Ascaris petiti ,,0,,,,-1,2,,VR,42741,,,,,Ascaris petiti      ,2860,Ascaris petiti      ,0,,Irwin and Raharison 2009,,VR,42741,,,,1
Ascaris suum ,,0,,1,1,1,1,,VR,42741,,,mentioned by sources to be zoonotic (when making nematode word doc),,Ascaris suum      ,28500,Ascaris suum      ,2865,Nematoda,"Philis et al., 1972",NEED,VR,42741,,,,1
Ascarops dentata ,,0,,,,-1,3,,VR,42741,,,,,Ascarops dentata      ,23,Ascarops dentata      ,1,,Yadav and Tandon 1989,,VR,42741,,,,1
Ascarops strongylina ,,0,,-1,1,-1,2,,VR,42741,,,,,Ascarops strongylina      ,408,Ascarops strongylina      ,24,boar/Spain,"de-la-Muela et al., 2001",,VR,42741,,,,1
Ascocotyle ampullacea ,,0,,-1,3,-1,3,,VR,42741,,,,,Ascocotyle ampullacea      ,35,Ascocotyle ampullacea      ,1,,Bush and Forrester 1976,,VR,42741,,,,0
Ascocotyle leighi ,,0,,,,-1,2,,VR,42741,,,,,Ascocotyle leighi      ,146,Ascocotyle leighi      ,2,,Stein and Lumsen 1971,,VR,42741,,,,0
Ascorhytis charadriformis ,,0,,,,-1,3,,VR,42741,,,,,Ascorhytis charadriformis      ,10,Ascorhytis charadriformis      ,0,,"Ching et al., 2000",,VR,42741,,,,0
Asfivirus African swine fever virus   ,,0,,-1,2,-1,2,,VR,42741,,,,,Asfivirus African swine fever virus   ,573,Asfivirus African swine fever virus   ,4,domestic pigs ,"Fabregas et al., 1999",,VR,42741,,,,0
Ashworthius gagarini ,,0,,,,-1,3,,VR,42741,,,,,Ashworthius gagarini      ,43,Ashworthius gagarini      ,2,,Humbert and Cabaret 1995,,VR,42741,,,,1
Ashworthius patriciapilittae ,,0,,,,-1,3,,VR,42741,,,,,Ashworthius patriciapilittae      ,23,Ashworthius patriciapilittae      ,1,,"Hoberg et al., 2002",,VR,42741,,,,1
Ashworthius sidemi ,,0,,,,-1,2,,VR,42741,,,,,Ashworthius sidemi      ,174,Ashworthius sidemi      ,26,,"Radwan et al., 2010",,VR,42741,,,,1
Atadenovirus Deer adenovirus     ,,0,,0,2,-1,3,,VR,42741,,,,,Atadenovirus Deer adenovirus     ,82,Atadenovirus Deer adenovirus     ,7,,"Woods et al., 2001",,VR,42741,,,,0
Athesmia foxi ,,0,,,,-1,3,,VR,42741,,,,,Athesmia foxi      ,100,Athesmia foxi      ,1,,Bostrom and Slaughter 1968,NEED,VR,42741,,,,0
Athesmia heterolecithodes ,,0,,-1,2,-1,3,,VR,42741,,,,,Athesmia heterolecithodes      ,73,Athesmia heterolecithodes      ,5,Turkey Trematode,"Menezes et al., 2011",,VR,42741,,,,0
Atriotaenia incisa ,,0,,-1,3,-1,3,,VR,42741,,,,,Atriotaenia incisa      ,34,Atriotaenia incisa      ,5,Eurasian badger,"Millan et al., 2004",,VR,42741,,,,0
Atriotaenia procyonis ,,0,,-1,3,-1,3,,VR,42741,,,,,Atriotaenia procyonis      ,82,Atriotaenia procyonis      ,6,Raccoon  ,"Bafundo et al., 1980",,VR,42741,,,,0
Avitellina centripunctata ,,0,,,,-1,2,,VR,42741,,,,,Avitellina centripunctata      ,445,Avitellina centripunctata      ,16,sheep ,Lashari and Tasawar 2011,,VR,42741,,,,0
Babesia bicornis ,,0,,-1,2,-1,2,,VR,42741,,,,,Babesia bicornis      ,308,Babesia bicornis      ,9,Rhino only,"Nijhof et al., 2003",,VR,42741,,,,0
Babesia bigemina ,,0,,0,1,-1,1,,VR,42741,,,,,Babesia bigemina      ,8100,Babesia bigemina      ,797,through tick saliva ,Brown and Palmer 1999,,VR,42741,,,,0
